#,Category,Contract #,Risk Level,Primary Vulnerability,Analysis Status,Source
108,Unchecked Low Level Calls,17,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
109,Unchecked Low Level Calls,18,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
110,Unchecked Low Level Calls,19,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
111,Unchecked Low Level Calls,20,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
112,Unchecked Low Level Calls,21,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
113,Unchecked Low Level Calls,22,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
114,Unchecked Low Level Calls,23,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
115,Unchecked Low Level Calls,24,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
116,Unchecked Low Level Calls,25,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
117,Unchecked Low Level Calls,26,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
118,Unchecked Low Level Calls,27,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
119,Unchecked Low Level Calls,28,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
120,Unchecked Low Level Calls,29,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
121,Unchecked Low Level Calls,30,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
122,Unchecked Low Level Calls,31,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
123,Unchecked Low Level Calls,32,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
124,Unchecked Low Level Calls,33,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
125,Unchecked Low Level Calls,34,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
126,Unchecked Low Level Calls,35,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
127,Unchecked Low Level Calls,36,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
128,Unchecked Low Level Calls,37,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
129,Unchecked Low Level Calls,38,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
130,Unchecked Low Level Calls,39,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
131,Unchecked Low Level Calls,40,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
132,Unchecked Low Level Calls,41,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
133,Unchecked Low Level Calls,42,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
134,Unchecked Low Level Calls,43,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
135,Unchecked Low Level Calls,44,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
136,Unchecked Low Level Calls,45,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
137,Unchecked Low Level Calls,46,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
138,Unchecked Low Level Calls,47,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
139,Unchecked Low Level Calls,48,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
140,Unchecked Low Level Calls,49,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
141,Unchecked Low Level Calls,50,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
142,Unchecked Low Level Calls,51,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
143,Unchecked Low Level Calls,52,HIGH,Unchecked Call,Heuristic (Category-based),SmartBugs
